sc.rowarea.stylesheetvariant;Style Sheet Variant
sc.rowarea.tabareactrls;Tab Area Controls
sc.rowarea.tabstripctrl;Tabstrip Control
sc.rowarea.titlebar;Titlebar
sc.tabpage.general;General
sc.tabpage.grids;Grids
sc.tabpage.individualcontrols;Individual Controls
sc.tabpage.styledetails;Style Details
sc.tabpage.tabcontrols;Tab Controls
sc.tabpage.workplace;Workplace
sc.title;Style Sheet Editor
sc.title.configuration;Configuration
sc.title.message;Message
shwDTDlabel0;If marked then selected tabs will have a top orange line.
stringcompare.column0;Left
stringcompare.column1;Right
stylesheeteditlabel0;If marked then selected tabs will have a top orange line.
sysmsg.button0;   OK   
sysmsg.button1;Details
threadprogress.column0;Message
threadprogress.label0;Do not close this window.
threadprogress.label1;PROGRESS...
tr.btn.startrecord;Start Recording
tr.btn.stoprecord;Stop Recording
tr.label.inthecisconf;In the cisconfig.xml you define a directory where trace files are stored. Each trace is written in a directory on its own inside this directory.
tr.label.nextrequ;Next Request's Comment
tr.label.tracedir;Trace Directory
tr.label.tracename;Trace Name
tr.msg.inputDirFirst;Please specifcy a trace directory
tr.msg.inputTraceNameFirst;Please specifcy a name for this trace
tr.recordperformance;Record Performance Trace
tr.rowarea.record;Record
tr.txtgrid2.clm.file;File
trc.label.configerationof;Configuration of one trace run
trc.label.configuration;Configuration of number of parallel trace threads, each running one trace run
trc.label.hostto;Host to put load on
trc.label.partrace;Parallel trace threads
trc.label.repeattracetime;Repeat trace ... times
trc.label.tracedir;Trace Directory
trc.label.tracename;Trace Name
trc.label.wait;Wait ... ms between requests
trc.nameoftrace;First specify name of trace to be executed
trc.repeatc;Repeat count must be >= 0
trc.rowarea.recorderrequ;Recorded Requests
trc.rowarea.requestStatistics;Request Statistics
trc.threadc;Thread count must be >= 0
trc.titlebar.trace;Trace
ut.check;Check
ut.convert;Convert Selected
ut.difference;Difference
ut.file;File
ut.helpText;After pressing the button a list will show all text files containing characters with an ASCII-code higher than 127. These are the file to have a look at: check the difference column in order to see on the left side the non-unicode representation and on the right side the unicode representation. The unicode representation is the one that is used inside the browser.
ut.layoutDefinitions;Layout Definitions
ut.msg.inputProject;Please specify a project first
ut.multiLanguageFiles;Multi Language Files
ut.numberOfCirticals;Number of critical files = &1
ut.pageTitle;Unicode Transfer
ut.project;Project
ut.projectSelection;Project Selection
ut.total;TOTAL
ut.utf8Check;UTF-8 Check
war.btn.createwar;Create WAR
war.correctname;Please specify correct name of WAR file
war.functionnot;This function is not allowed in demo mode
war.generated;WAR &1 file was generated
war.label.cisrootloc;CIS Root Location
war.label.dependenton;Dependent on the number of included files the creation of the WAR file may take some time!
war.label.fullyclusterable;fully clusterable
war.label.fullyclusterableno;fully clusterable, no reference to file system
war.label.logfileloc;Log File Location
war.label.selectproj;Select Project(s)
war.label.switchoffdesigntime;Switch off Design Time
war.label.warfiletocreate;WAR File to be created
war.label.withfilesystemref;with file system reference
war.label.withreftofile;with reference to file system
war.logdir;Please specify the log directory location
war.rootdir;Please specify the root directory location
war.rowtabarea.deploymentscenario;Deployment Scenario
war.rowarea.checkandcreate;Check and Create!
war.rowtabarea.projectselection;Project Selection
war.titlebar.warpackager;WAR Packager
war.txtgridsss.clm.protocol;Protocol
wsdldataadpt.button0;Load
wsdldataadpt.button1;Use in Page
wsdldataadpt.button2;Change
wsdldataadpt.column0;Icon
wsdldataadpt.column1;controlText
wsdldataadpt.label0;URL/File
wsdldataadpt.label1;Service
wsdldataadpt.label2;Port
